Modele,Seuil,accuracy,precision,recall,f1,auc
Régression Logistique,0.4631432453699527,0.305,0.25274725274725274,0.9387755102040817,0.39826839826839827,0.510068928233545
Random Forest,0.12333333333333334,0.325,0.2611111111111111,0.9591836734693877,0.4104803493449782,0.4966211650223003
